OWN_OCC,LU_DESC,UNIT_NUM,ST_NUM,ST_NAME,ZIPCODE,CITY,RES_UNITS,join_idx
N,RES ANCILL IMPROVEMT,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,PRINCETON ST,2128,EAST BOSTON,0,princeton
N,PARKING LOT,,,PRINCETON ST,2128,EAST BOSTON,0,princeton
N,PARKING LOT,,,PRINCETON ST,2128,EAST BOSTON,0,princeton
N,RES LAND (Unusable),,,PRINCETON ST,2128,EAST BOSTON,0,princeton
N,RES ANCILL IMPROVEMT,,,PRINCETON ST,2128,EAST BOSTON,0,princeton
N,OFFICE: INDUSTRIAL,,,PRINCETON ST,2128,EAST BOSTON,0,princeton
N,WAREHOUSE /DISTRIB,,,PRINCETON ST,2128,EAST BOSTON,0,princeton
N,COMM MULTI-USE,,411.0,CHELSEA ST,2128,EAST BOSTON,0,411 chelsea
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,OTHER EXEMPT BLDG,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,TWO-FAM DWELLING,,7.0,WORDSWORTH ST,2128,EAST BOSTON,0,7 wordsworth
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,APT 4-6 UNITS,,10.0,MOORE ST,2128,EAST BOSTON,0,10 moore
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,CHAUCER ST,2128,EAST BOSTON,0,chaucer
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RESIDENTIAL LAND,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RESIDENTIAL LAND,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,CITY OF BOSTON,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RESIDENTIAL LAND,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES ANCILL IMPROVEMT,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES ANCILL IMPROVEMT,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RESIDENTIAL LAND,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES ANCILL IMPROVEMT,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,OTHER PUBLIC LAND,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,TRAINING /PRIV EDUC,,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RET/WHSL/SERVICE,,1150.0,SARATOGA ST,2128,EAST BOSTON,0,1150 saratoga
N,RES ANCILL IMPROVEMT,,,ST ANDREW RD,2128,EAST BOSTON,0,andrew rd
N,RES LAND (Unusable),,,SARATOGA ST,2128,EAST BOSTON,0,saratoga
N,RES LAND (Unusable),,,ST ANDREW RD,2128,EAST BOSTON,0,andrew rd
