PROJ_NAME,ZIPCODE,SECTION8,RES_UNITS,ST_NUM,ST_NAME,CITY
Abbot Street/ Shawmut Ave,2119.0,,16,100.0,Shawmut Ave, Boston
Academy Homes I,2119.0,,202,1592.0,Columbus Ave, Roxbury
Academy Homes II,2119.0,Y,236,2926.0,Washington St, Roxbury
Adams Court Phase A,2126.0,,50,59.0,Msgr Patrick J Lydon Way, Boston
Adams Court Phase B,2126.0,,45,,,
Adams Templeton Elderly Housing,2124.0,Y,76,445.0,Adams St, Dorchester
Alcott Apts [Garden Garage],2114.0,,470,35.0,Lomasney Way, Boston
Alexander-Magnolia,2125.0,,40,36.0,Alexander St, Boston
"Alice H. Taylor (Mission Hill Ext.) (2-14, -60,-84,-86,-100)",2120.0,,363,,,
Allele Condominium,2127.0,,47,150.0,Dorchester Ave, Boston
Alleyne (VUP) CDFI,2121.0,,3,,,
Alpine Street Village,2136.0,,44,,Alpine St, Boston
Amiff Housing,2124.0,Y,96,64.0,American Legion Hwy, Boston
Amory Foundry (Phase I),2130.0,,23,284.0,Amory St, Boston
Amory Street (2-45),2119.0,,215,245.0,Amory St, Boston
Amory Terrace,2119.0,,64,,Amory Terrace, Boston
Amy Lowell House,2114.0,,152,65.0,Martha Rd, Boston
Anderson Park,2114.0,Y,64,250.0,Cambridge St # 1, Boston
Andrade (VUP),2122.0,,3,,,
Andrew Square Apts,2127.0,,9,235.0,Old Colony Ave, Boston
Angela Westover House,2130.0,Y,11,536.0,Granite St, Braintree
Annapolis (2-27),2125.0,,56,,,
Archdale (200-7),2131.0,,285,200.0,Archdale Rd, Boston
Archstone Boston Common,2111.0,,420,660.0,Washington St, Boston
Armory Condos,2129.0,,42,380.0,Bunker Hill St, Charlestown
Ashmont (2-28),2124.0,,54,228.0,Ashmont St, Boston
Ashmont TOD (Housing),2124.0,,116,1916.0,Dorchester Ave, Dorchester
Astoria Street Condos (Elizabeth Street),2126.0,,3,217.0,Elizabeth St, New York
Atlantic Wharf,2210.0,,86,280.0,Congress St, Boston
Atrium Lofts,2128.0,,218,156.0,Porter St, Boston
Audubon Apts,2126.0,,37,,Audubon Circle, Boston
Ausonia (2-61),2109.0,,100,,,
Ava Theater District,2116.0,,398,45.0,Stuart St, Boston
Avalon at North Station,2114.0,,503,1.0,Nashua St, Boston
Avalon at Prudential Center,2116.0,,188,780.0,Boylston St, Boston
Avana Lofts,2111.0,,32,42.0,Beach St, Boston
Avenir Development,2114.0,,241,101.0,Canal St, Boston
Avondale Place,2115.0,,22,,Avondale St, Boston
Babcock Tower,2134.0,Y,213,270.0,Babcock St, Boston
Back of the Hill 202,2130.0,Y,125,100.0,S Huntington Ave, Jamaica Plain
Back of the Hill HOP,2120.0,,149,100.0,S Huntington Ave, Boston
Bailey (VUP),2121.0,,1,,,
Baker Square Condominium,2124.0,,60,1243.0,Adams St, Boston
Balina Place at Norfolk St/Habitat,2124.0,,3,434.0,Massachusetts Ave Suite 201, Boston
Bancroft Apts,2119.0,Y,45,16.0,Ware St, Cambridge
Baptista (VUP),2125.0,,1,26.0,City Hall Mall, Medford
Barlett Square,2130.0,,13,154.0,Green St, Boston
Barnes School 202,2128.0,,74,,,
Bartlett Place Building E,2119.0,,16,2565.0,Washington St, Boston
Bartlett Place/Building B,2119.0,,60,2565.0,Washington St, Boston
Basilica (667-6),2129.0,,5,106.0,13th St, Boston
Bates School/Artblock 731,2118.0,,54,731.0,Harrison Ave, Boston
Bay Cove Group Homes I,2131.0,Y,26,39.0,Glencliff Rd, Boston
Bay Cove Group Homes III,2127.0,Y,12,66.0,Canal St, Boston
Bay Cove Group Homes IV,2125.0,,9,44.0,Fairmount St, Boston
Bay Cove Hyde Park,2131.0,,12,39.0,Glencliff Rd, Boston
BCN Properties,2119.0,Y,53,30.0,Bower St, Boston
Beacon House,2114.0,Y,135,19.0,Myrtle St #208, Boston
Beasley (VUP),2121.0,,2,,,
Belgrade Place,2132.0,,39,446.0,Belgrade Ave, West Roxbury
Bellflower (2-77),2125.0,,114,24.0,Bellflower St, Boston
"Berkeley Investments, Inc.",2127.0,,88,125.0,High St #531, Boston
Beryl Gardens,2119.0,,20,,Beryl St, Boston
BHA Infill 1A - Quincy Geneva,2121.0,,18,320.0,Blue Hill Avenue # B, Boston
BHA Infill 1B - Codman Square NDC,2124.0,,2,587.0,Washington St, Dorchester Center
BHA Infill 2 - Urban Edge,2119.0,,15,,,
BHA Infill 3 - Nuestra,2119.0,,10,52.0,Chauncy St, Boston
BHP Codman Square,2124.0,,80,637.0,Washington St, Boston
BHP Fields Corner,2122.0,Y,77,1.0,Arcadia St, Dorchester
BHP Frawley-Delle,2115.0,Y,74,706.0,Huntington Ave, Boston
BHP Hano Street,2134.0,Section 8 or MRVP,20,,Hano St, Boston
BHP Lena Park,2121.0,,93,150.0,American Legion Hwy, Dorchester
BHP Quincy-Geneva,2121.0,Y,49,320.0,Blue Hill Avenue # B, Boston
BHP Washington Park,2119.0,,96,330.0,M.L.K. Jr Blvd, Boston
BHP Westland Ave,2115.0,,20,10.0,Westland Ave, Boston
Bickford (2-25),2130.0,,56,,,
Bird St. Estates,2125.0,,8,500.0,Columbia Rd, Dorchester
Blackstone Apts,2114.0,Y,145,33.0,Blossom St, Boston
Blake Estates I,2136.0,Y,175,1344.0,Hyde Park Ave, Hyde Park
Blake Estates II,2136.0,Y,88,1344.0,Hyde Park Ave, Hyde Park
Blandino Farms,2124.0,,16,,,
Blessed Sacrament Mixed-Use (Rental + SRO),2130.0,,65,,,
Bloomfield Gardens,2124.0,,27,,Bloomfield St, Boston
Blue Hill Commons,2119.0,,8,,,
Blue Mountain Assoc.,2121.0,Y,217,457.0,Blue Hill Avenue, Boston
Border Falcon Condominiums,2128.0,,14,301.0,Border St, Boston
Boston East,2128.0,,200,126.0,Border St, Boston
Boston Kenmore Realty LLC,2111.0,,54,474.0,Commonwealth Ave, Boston
Boston Landing,2135.0,,295,,,
Boston Rehab,2115.0,Y,144,940.0,Commonwealth Ave, Boston
Boston Trailer Park Tenants,2132.0,,104,1515.0,VFW Pkwy, West Roxbury
Boston Wharf Tower,2127.0,,202,,65-85 E India Row, Boston
Boston's Hope in Dorchester,2124.0,,41,71.0,Kingsdale St, Dorchester Center
Bowditch School Lodging House,2130.0,,46,43.0,Loring Ave, Salem
Bowdoin Geneva Phase III (HOME AGAIN),2122.0,,20,200.0,Bowdoin St, Dorchester
Bowdoin Place,2114.0,,75,,Bowdoin St, Boston
Bowdoin School,2114.0,Y,35,45.0,Myrtle St, Boston
Bowdoin/Geneva - HOME AGAIN,2125.0,,7,,,
Bowdoin/Geneva (Phase II),2125.0,,10,,,
Bowdoin-Geneva & Dudley FTHB,2125.0,,3,200.0,Bowdoin St, Dorchester
Bowdoin-Geneva & Dudley Rental,2119.0,,3,200.0,Bowdoin St, Dorchester
Bowen (VUP),2124.0,,2,22.0,Boston Wharf Rd, Boston
Boylston St Mixed Use,2116.0,,85,501.0,Boylston St, Boston
Boylston West (Fenway Triangle Mixed Use),2215.0,,172,180.0,Brookline Ave, Boston
Bradford Estates,2124.0,,24,,,
Bradlee-Fowler,2124.0,,3,,,
Bradley Properties,2118.0,Y,70,340.0,Shawmut Ave, Boston
Brandywyne Village,2128.0,Y,402,88.0,Brandywyne Dr, East Boston
Brantley (VUP),2126.0,,2,,,
Braxton (VUP),2121.0,,2,,,
Brewery Lofts,2130.0,,79,251.0,Heath St, Jamaica Plain
BRIAN J HONAN APARTMENTS,2134.0,,50,57.0,Everett St N, Allston
Brighton Gardens,2135.0,,62,,Brighton Ave, Boston
Brighton-Allston Apts,2134.0,,62,57.0,Everett St N, Allston
Brighton-Allston Elderly,2134.0,Y,80,677.0,Cambridge St, Brighton
"Bromley Park (2-19, -75, -101)",2130.0,,779,,,
Brook Avenue Cooperative,2119.0,,36,147.0,Moreland St, Roxbury
"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",2125.0,,18,,,
Brookside Artists Housing,2130.0,,21,,Brookside Ave, Boston
Brookview House,2124.0,,8,2.0,Brookview St #1, Dorchester Center
Brookview House II,2124.0,,12,2.0,Brookview St #1, Dorchester Center
