,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,geo_input,address_candidates
0,Abbot Street/ Shawmut Ave,Roxbury,2119,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,Abbot Street/ Shawmut Ave Roxbury,"['735 Shawmut Ave, Roxbury, MA 02119, United States']"
1,Academy Homes I,Roxbury,2119,202,202,0,52.0,52.0,0.0,150,150,0.0,Rental,Private,,,Academy Homes I Roxbury,"['1592 Columbus Ave, Roxbury, MA 02119, United States']"
2,Academy Homes II,Roxbury,2119,236,236,0,0.0,0.0,0.0,236,236,0.0,Rental,Private,,Y,Academy Homes II Roxbury,"['2926 Washington St, Roxbury, MA 02119, United States']"
3,Adams Court Phase A,Mattapan,2126,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,,Adams Court Phase A Mattapan,"['725-735 Adams St, Boston, MA 02122, United States']"
4,Adams Court Phase B,Mattapan,2126,45,45,0,0.0,0.0,0.0,45,45,0.0,Rental,Private,,,Adams Court Phase B Mattapan,"['59 Msgr Patrick J Lydon Way, Boston, MA 02124, United States']"
5,Adams Templeton Elderly Housing,Dorchester,2124,76,76,0,1.0,1.0,0.0,75,75,0.0,Rental,Private,Y,Y,Adams Templeton Elderly Housing Dorchester,"['445 Adams St, Dorchester, MA 02122, United States']"
6,Alcott Apts [Garden Garage],West End,2114,470,470,0,453.0,453.0,0.0,17,17,0.0,Rental,Private,,,Alcott Apts [Garden Garage] West End,"['35 Lomasney Way, Boston, MA 02114, United States']"
7,Alexander-Magnolia,Dorchester,2125,40,40,0,2.0,2.0,0.0,38,38,0.0,Rental,Private,,,Alexander-Magnolia Dorchester,"['36 Alexander St, Boston, MA 02125, United States', '12 Trull St, Dorchester, MA 02125, United States']"
8,"Alice H. Taylor (Mission Hill Ext.) (2-14, -60,-84,-86,-100)",Mission Hill,2120,363,363,0,0.0,0.0,0.0,363,363,0.0,Rental,Public,,,"Alice H. Taylor (Mission Hill Ext.) (2-14, -60,-84,-86,-100) Mission Hill",[]
9,Allele Condominium,South Boston,2127,47,0,47,41.0,0.0,41.0,6,0,6.0,Ownership,Private,,,Allele Condominium South Boston,"['150 Dorchester Ave, Boston, MA 02127, United States']"
10,Alleyne (VUP) CDFI,Roxbury,2121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,Alleyne (VUP) CDFI Roxbury,"['10 Malcolm X Blvd, Roxbury, MA 02119, United States', '600 Atlantic Ave, Boston, MA 02210, United States']"
11,Alpine Street Village,Hyde Park,2136,44,0,44,40.0,0.0,40.0,4,0,4.0,Rental,Private,,,Alpine Street Village Hyde Park,"['Alpine St, Boston, MA 02136, USA']"
12,Amiff Housing,Dorchester,2124,96,96,0,0.0,0.0,0.0,96,96,0.0,Rental,Private,,Y,Amiff Housing Dorchester,"['64 American Legion Hwy, Boston, MA 02124, United States']"
13,Amory Foundry (Phase I),Jamaica Plain,2130,23,0,23,18.0,,18.0,5,0,5.0,Ownership,Private,,,Amory Foundry (Phase I) Jamaica Plain,"['276 Amory St, Jamaica Plain, MA 02130, United States']"
14,Amory Street (2-45),Jamaica Plain,2119,215,215,0,0.0,0.0,0.0,215,215,0.0,Rental,Private,Y,,Amory Street (2-45) Jamaica Plain,"['245 Amory St, Boston, MA 02130, USA']"
15,Amory Terrace,Jamaica Plain,2119,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Private,,,Amory Terrace Jamaica Plain,"['Amory Terrace, Boston, MA 02119, USA']"
16,Amy Lowell House,West End,2114,152,152,0,30.0,30.0,0.0,122,122,0.0,Rental,Private,,,Amy Lowell House West End,"['65 Martha Rd, Boston, MA 02114, United States']"
17,Anderson Park,Beacon Hill,2114,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Private,Y,Y,Anderson Park Beacon Hill,"['250 Cambridge St # 1, Boston, MA 02114, United States']"
